system,instances,throughput,latency
XChange,0,0,0
BitShares,0,0,0
Waves,0,0,0
BitShares,50,96,2766.535833
BitShares,100,210,2716.373925
BitShares,150,289,2722.963852
BitShares,200,373,2746.715943
BitShares,250,1000,9781.218110
BitShares,300,1132,13142.570626
BitShares,350,809,16678.577513
BitShares,400,728.600000,13692.516081
BitShares,450,729,22169.968199
BitShares,500,594,26231.943084
Waves,50,41,5193.835498
Waves,100,31,11129.723140
XChange,50,740,0.109916
XChange,100,1459,0.117563
XChange,150,2188,0.122397
XChange,200,2952,0.132648
XChange,250,3609,0.172692
XChange,300,4338,0.241130
XChange,350,5021,0.336907
XChange,400,5713,0.786716
XChange,450,6460,0.256180
XChange,500,7185,0.478003
BitShares,50,93,2718.705652
BitShares,100,211,2847.986400
BitShares,150,293,3125.298769
BitShares,200,370,2714.241630
BitShares,250,989,9687.961646
BitShares,350,2002,20036.696200
BitShares,400,985,8969.210405
BitShares,450,949,15093.323091
BitShares,500,1855,12378.362006
Waves,50,94,6364.937173
Waves,100,76,12820.624698
Waves,150,69,44520.233555
Waves,200,69,48820.381497
XChange,50,748,0.106626
XChange,100,1462,0.110921
XChange,150,2182,0.121827
XChange,200,2895,0.124383
XChange,250,3626,0.201805
XChange,300,4333,0.461223
XChange,350,5027,0.338483
XChange,400,5732,0.349312
XChange,450,6438,0.291515
XChange,500,7178,0.702598
XChange,50,742,0.108733
XChange,100,1467,0.122485
XChange,150,2182,0.118428
XChange,200,2917,0.121827
XChange,250,3641,0.144425
XChange,300,4388,0.168976
XChange,350,5453,0.278461
XChange,400,5746,0.319860
XChange,450,6451,0.285308
XChange,500,7146,0.447852
XChange,50,755,0.110156
XChange,100,1470,0.117211
XChange,150,2202,0.124178
XChange,200,2900,0.128497
XChange,250,3611,0.124669
XChange,300,4332,0.319725
XChange,350,5029,0.686565
XChange,400,5768,0.209558
XChange,450,6440,0.438698
XChange,500,7149,0.348411
XChange,50,742,0.116056
XChange,100,1457,0.111545
XChange,150,2179,0.138817
XChange,200,2904,0.137954
XChange,250,3618,0.127144
XChange,300,4315,0.237112
XChange,350,5037,0.282735
XChange,400,5746,0.329444
XChange,450,6456,1.769426
XChange,500,7237,0.511198
XChange,50,750,0.111641
XChange,100,1464,0.119682
XChange,150,2213,0.118218
XChange,200,2899,0.131265
XChange,250,3612,0.150350
XChange,300,4334,0.642777
XChange,350,5660,0.344646
XChange,400,5714,0.397170
XChange,450,6433,0.351277
XChange,500,7151,0.279179
XChange,50,744,0.112860
XChange,100,1454,0.115449
XChange,150,2198,0.126406
XChange,200,2908,0.127529
XChange,250,3623,0.146078
XChange,300,4349,0.156018
XChange,350,5059,0.145733
XChange,400,5733,0.367279
XChange,450,6475,0.334051
XChange,500,7134,0.596790
XChange,50,745,0.107827
XChange,100,1462,0.120545
XChange,150,2175,0.124755
XChange,200,2905,0.136381
XChange,250,3628,0.230647
XChange,300,4313,0.209507
XChange,350,5039,0.315074
XChange,400,5740,0.761734
XChange,450,6441,0.582860
XChange,500,7149,0.355510
XChange,50,747,0.106847
XChange,100,1521,0.122342
XChange,150,2191,0.123532
XChange,200,2928,0.129649
XChange,250,3632,0.145078
XChange,300,4336,0.167239
XChange,350,5043,0.415426
XChange,400,5724,0.330343
XChange,450,6452,0.221818
XChange,500,7142,0.291010
XChange,50,749,0.114574
XChange,100,1476,0.119358
XChange,150,2172,0.120444
XChange,200,2927,0.138709
XChange,250,3602,0.365091
XChange,300,4309,0.311938
XChange,350,5019,0.244036
XChange,400,5747,0.690109
XChange,450,6435,0.268435
XChange,500,7201,0.277198
XChange,50,742,0.107018
XChange,100,1459,0.111881
XChange,150,2202,0.120474
XChange,200,2899,0.367490
XChange,250,3645,0.289956
XChange,300,4310,0.185119
XChange,350,5062,0.281109
XChange,400,5735,0.431620
XChange,450,6465,0.308121
XChange,500,7137,0.585221
XChange,50,747,0.108829
XChange,100,1458,0.122436
XChange,150,2262,0.130820
XChange,200,2894,0.121725
XChange,250,3603,0.174755
XChange,300,4316,0.389527
XChange,350,5042,0.261198
XChange,400,5767,0.474720
XChange,450,6459,0.274004
XChange,500,7138,0.257308
XChange,50,751,0.109365
XChange,100,1458,0.117344
XChange,150,2197,0.124059
XChange,200,3010,0.135868
XChange,250,3607,0.198882
XChange,300,4502,0.291249
XChange,350,5019,0.475131
XChange,400,5723,0.216511
XChange,450,6422,0.443165
XChange,500,7125,0.498361
XChange,50,749,0.110364
XChange,100,1468,0.129837
XChange,150,2190,0.124141
XChange,200,2895,0.151044
