policy,instances,throughput,latency
none,0,0,0
INC_SET(2),0,0,0
RESTRICT,0,0,0
RESTRICT+INC_SET(2),0,0,0
none,100,104,0.057830
INC_SET(2),100,105,0.068412
RESTRICT,100,105,0.077280
RESTRICT+INC_SET(2),100,105,0.091138
none,200,206,0.057379
INC_SET(2),200,208,0.072142
RESTRICT,200,208,0.081061
RESTRICT+INC_SET(2),200,208,0.096409
none,300,308,0.059185
INC_SET(2),300,308,0.070820
RESTRICT,300,311,0.085311
RESTRICT+INC_SET(2),300,310,0.100879
none,400,409,0.062351
INC_SET(2),400,409,0.073938
RESTRICT,400,412,0.087720
RESTRICT+INC_SET(2),400,416,0.107077
none,500,510,0.059781
INC_SET(2),500,513,0.072469
RESTRICT,500,514,0.087517
RESTRICT+INC_SET(2),500,515,0.107670
none,600,614,0.060452
INC_SET(2),600,613,0.071867
RESTRICT,600,616,0.087263
RESTRICT+INC_SET(2),600,614,0.110505
none,700,713,0.059716
INC_SET(2),700,715,0.073446
RESTRICT,700,720,0.088408
RESTRICT+INC_SET(2),700,718,0.106168
none,800,813,0.060640
INC_SET(2),800,813,0.074620
RESTRICT,800,821,0.091327
RESTRICT+INC_SET(2),800,820,0.107610
none,900,917,0.062030
INC_SET(2),900,915,0.073596
RESTRICT,900,917,0.088283
RESTRICT+INC_SET(2),900,920,0.109080
none,1000,1016,0.062259
INC_SET(2),1000,1014,0.075351
RESTRICT,1000,1024,0.092352
RESTRICT+INC_SET(2),1000,1020,0.124107
none,100,105,0.054376
INC_SET(2),100,105,0.064235
RESTRICT,100,105,0.085147
RESTRICT+INC_SET(2),100,105,0.098100
none,200,207,0.053294
INC_SET(2),200,206,0.068777
RESTRICT,200,208,0.084189
RESTRICT+INC_SET(2),200,208,0.098394
none,300,309,0.060273
INC_SET(2),300,311,0.071843
RESTRICT,300,313,0.085218
RESTRICT+INC_SET(2),300,311,0.102779
none,400,410,0.060955
INC_SET(2),400,409,0.070611
RESTRICT,400,413,0.089727
RESTRICT+INC_SET(2),400,415,0.108944
none,500,511,0.058300
INC_SET(2),500,510,0.074915
RESTRICT,500,513,0.088890
RESTRICT+INC_SET(2),500,515,0.106414
none,600,611,0.059583
INC_SET(2),600,613,0.070094
RESTRICT,600,615,0.090256
RESTRICT+INC_SET(2),600,615,0.101382
none,700,712,0.060654
INC_SET(2),700,712,0.072218
RESTRICT,700,720,0.089716
RESTRICT+INC_SET(2),700,716,0.108381
none,800,814,0.063582
INC_SET(2),800,814,0.072436
RESTRICT,800,819,0.089282
RESTRICT+INC_SET(2),800,819,0.106289
none,900,916,0.061244
INC_SET(2),900,913,0.074133
RESTRICT,900,919,0.090719
RESTRICT+INC_SET(2),900,923,0.114279
none,1000,1015,0.061165
INC_SET(2),1000,1015,0.074777
RESTRICT,1000,1026,0.090078
RESTRICT+INC_SET(2),1000,1020,0.178948
none,100,104,0.052366
INC_SET(2),100,105,0.064293
RESTRICT,100,105,0.077441
RESTRICT+INC_SET(2),100,106,0.096888
none,200,207,0.057568
INC_SET(2),200,206,0.065863
RESTRICT,200,209,0.088033
RESTRICT+INC_SET(2),200,209,0.099307
none,300,309,0.056775
INC_SET(2),300,309,0.067924
RESTRICT,300,310,0.086549
RESTRICT+INC_SET(2),300,313,0.106840
none,400,410,0.062043
INC_SET(2),400,411,0.074799
RESTRICT,400,412,0.086032
RESTRICT+INC_SET(2),400,424,0.110495
none,500,511,0.056920
INC_SET(2),500,510,0.071541
RESTRICT,500,514,0.087738
RESTRICT+INC_SET(2),500,514,0.103798
none,600,613,0.060782
INC_SET(2),600,612,0.069159
RESTRICT,600,615,0.087946
RESTRICT+INC_SET(2),600,617,0.102183
none,700,713,0.062710
INC_SET(2),700,714,0.071607
RESTRICT,700,718,0.092201
RESTRICT+INC_SET(2),700,720,0.106432
none,800,815,0.062338
INC_SET(2),800,815,0.073712
RESTRICT,800,817,0.090485
RESTRICT+INC_SET(2),800,818,0.105870
none,900,915,0.062032
INC_SET(2),900,913,0.072612
RESTRICT,900,923,0.089727
RESTRICT+INC_SET(2),900,917,0.110061
none,1000,1016,0.060478
INC_SET(2),1000,1017,0.073135
RESTRICT,1000,1021,0.089729
RESTRICT+INC_SET(2),1000,1020,0.114621
none,100,105,0.054513
INC_SET(2),100,105,0.072899
RESTRICT,100,106,0.081970
RESTRICT+INC_SET(2),100,107,0.094568
none,200,207,0.062716
INC_SET(2),200,208,0.068062
RESTRICT,200,208,0.084249
RESTRICT+INC_SET(2),200,213,0.098394
none,300,309,0.058555
INC_SET(2),300,309,0.070396
RESTRICT,300,313,0.086941
RESTRICT+INC_SET(2),300,311,0.100051
none,400,410,0.059238
INC_SET(2),400,411,0.072165
RESTRICT,400,414,0.090082
RESTRICT+INC_SET(2),400,416,0.102726
none,500,510,0.061494
INC_SET(2),500,510,0.072484
RESTRICT,500,515,0.086476
RESTRICT+INC_SET(2),500,515,0.101116
none,600,611,0.059632
INC_SET(2),600,614,0.069846
RESTRICT,600,619,0.088525
RESTRICT+INC_SET(2),600,615,0.104126
none,700,714,0.059378
INC_SET(2),700,714,0.072976
RESTRICT,700,723,0.088986
RESTRICT+INC_SET(2),700,715,0.107345
none,800,813,0.061054
INC_SET(2),800,813,0.073427
RESTRICT,800,817,0.091153
RESTRICT+INC_SET(2),800,820,0.117762
none,900,915,0.062373
INC_SET(2),900,913,0.074320
RESTRICT,900,920,0.086530
RESTRICT+INC_SET(2),900,920,0.108776
none,1000,1016,0.062650
INC_SET(2),1000,1015,0.073465
RESTRICT,1000,1025,0.090935
