policy,instances,throughput,latency
none,100,105,0.058236
INCSET(2),100,105,0.067275
RESTRICT(1),100,106,0.085005
RESTRICT(1)+INCSET(2),100,106,0.090670
none,200,207,0.059716
INCSET(2),200,208,0.071098
RESTRICT(1),200,210,0.081068
RESTRICT(1)+INCSET(2),200,209,0.100975
none,300,309,0.060463
INCSET(2),300,308,0.069048
RESTRICT(1),300,312,0.088865
RESTRICT(1)+INCSET(2),300,311,0.105171
none,400,410,0.058692
INCSET(2),400,410,0.074352
RESTRICT(1),400,413,0.088967
RESTRICT(1)+INCSET(2),400,414,0.099941
none,500,511,0.059078
INCSET(2),500,512,0.076007
RESTRICT(1),500,513,0.089240
RESTRICT(1)+INCSET(2),500,512,0.103363
none,600,611,0.060075
INCSET(2),600,612,0.071559
RESTRICT(1),600,617,0.090563
RESTRICT(1)+INCSET(2),600,618,0.108931
none,700,713,0.061641
INCSET(2),700,714,0.073839
RESTRICT(1),700,716,0.089307
RESTRICT(1)+INCSET(2),700,721,0.109387
none,800,814,0.061443
INCSET(2),800,814,0.073348
RESTRICT(1),800,822,0.088948
RESTRICT(1)+INCSET(2),800,817,0.180590
none,900,915,0.061980
INCSET(2),900,914,0.071796
RESTRICT(1),900,923,0.089814
RESTRICT(1)+INCSET(2),900,917,0.109445
none,1000,1017,0.063940
INCSET(2),1000,1017,0.071549
RESTRICT(1),1000,1025,0.093578
RESTRICT(1)+INCSET(2),1000,1022,0.110025
